day,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,,242500,,113750,109375,,5000,85625,378125,157500,428750,155625,116875,164375,163750,291250,80000,283125,460000,373125,515000,283750,224375,223125,227500,368750,395625,213125,323125,148750,486250,395625,719375,590625,250625,86875,121250,351250,516875,835625,198125,341250,138125
2,131250,118125,,95625,,,61875,,85625,210625,153750,388125,286250,85000,150625,138125,307500,66875,219375,398750,300625,393750,301875,171250,185625,155000,337500,492500,141250,346875,126875,435000,412500,678750,423750,256875,116875,176875,239375,408125,676250,220000,398750,155625
3,,,103125,,92500,31250,,151250,113750,140625,90000,319375,207500,61875,200000,83125,195625,50000,191875,289375,493750,156875,378750,171250,96250,105625,300625,418750,97500,368750,130625,358125,377500,704375,335625,279375,165000,176875,205625,281875,551875,193125,450000,195625
4,59375,63125,,,,,44375,,132500,195625,61875,328125,274375,37500,208125,51250,348750,32500,159375,280000,521250,65625,438125,130625,54375,108125,241875,384375,134375,396250,87500,355000,333125,765000,273125,169375,173125,172500,174375,200000,365625,148750,366875,218750
5,,,81250,,28125,54375,,133125,119375,67500,68750,473750,102500,66875,114375,166250,309375,89375,55625,211875,465625,60000,505000,121250,223750,134375,203750,362500,138125,351250,56875,276250,233125,849375,220625,121875,168750,180625,173125,219375,282500,109375,223125,201250
6,50625,57500,,61250,,,18125,,241875,56875,95625,349375,77500,75000,62500,294375,338750,65000,75625,80625,506875,165000,479375,125000,408750,66250,146250,290000,233125,305000,163125,223750,249375,1023750,218125,127500,215625,170625,167500,122500,239375,169375,215625,213750
7,,,35000,,7500,54375,,16875,349375,51250,75000,373125,166875,95000,66875,143125,464375,25000,26250,160625,404375,153125,353125,160000,600000,96250,140000,231875,306250,253750,190625,204375,287500,738750,169375,100000,137500,166250,236250,203750,378750,266250,181250,134375
8,43750,13125,,,,,21875,,420000,96250,53750,261875,72500,142500,80000,92500,156875,66875,21875,121250,436875,202500,325000,158125,526250,116250,138125,227500,227500,257500,176250,275625,255625,524375,81250,93125,74375,200000,250625,457500,315000,196250,101875,82500
9,,,21250,,5000,48125,,16250,366875,100000,50625,129375,108125,238125,68125,76875,439375,85625,71250,95000,241250,208125,253125,113750,288125,123125,126250,212500,145000,255625,121875,296250,328750,293750,71250,135625,170000,305000,178125,499375,265625,133750,63125,103750
10,18125,18125,,24375,,,53125,,166250,173125,54375,230000,132500,128125,56875,62500,258750,47500,69375,44375,91250,177500,295000,96250,161875,170000,170625,144375,143750,136250,121875,437500,363750,146250,141250,311875,121875,329375,180000,348125,190000,140625,133750,107500
11,,,12500,,4375,61875,,6875,104375,145000,42500,83750,64375,188750,76875,28750,297500,45625,566875,90625,80000,110000,284375,74375,127500,459375,152500,160625,205000,96875,86875,345625,303125,150000,250000,225000,80625,304375,166875,241875,131250,82500,299375,85625
12,60000,13125,,12500,,,192500,,65000,134375,50000,98750,78750,104375,6875,147500,273125,35000,733750,153750,110000,74375,236875,81250,156250,724375,210000,261250,341875,113125,119375,294375,145625,93750,213750,135000,45000,248750,113750,300000,153125,244375,140625,49375
13,,,61875,,16250,,,84375,46875,123750,29375,,30000,49375,30625,125625,,17500,604375,48125,126250,36875,188125,65625,206250,289375,68750,233125,353750,111875,75000,200625,78750,65000,216250,216875,30625,152500,115625,258125,107500,120000,176250,39375
14,4375,4375,,1875,,,383125,,93750,91250,13750,61250,33750,75625,160625,108750,135000,17500,409375,51250,119375,48750,151250,35000,236250,224375,83125,325625,268750,143125,179375,210000,50000,182500,144375,175000,37500,63125,187500,240000,77500,68125,871875,95625
15,,,72500,,67500,,,77500,67500,55000,63750,31875,17500,26250,75000,126875,70625,30000,226875,103125,51875,54375,149375,33750,99375,307500,80625,555625,220000,125625,95625,243125,47500,202500,34375,116875,38750,116875,79375,236250,88125,26875,754375,107500
16,44375,18750,,,,,89375,,28125,36875,75625,26250,1250,36875,36250,138125,40000,55000,169375,80625,84375,111875,161250,68125,238125,302500,48125,720625,228750,46250,83750,238125,32500,222500,50000,156250,33125,89375,41875,136250,107500,38125,511875,106875
17,,,132500,,52500,,,30000,36250,30000,63750,33750,13750,17500,33125,151875,120625,58125,62500,113125,81250,256875,113750,148750,190000,298125,31250,706875,122500,53125,61250,167500,67500,255000,26250,293125,71250,85000,36875,127500,108750,140625,413750,73125
18,48125,2500,,6250,,,5000,,28125,43125,38125,31250,5625,35000,55000,122500,26875,46250,88125,130000,52500,285000,57500,156875,50000,290625,48125,419375,150000,138750,24375,263125,50000,216250,21875,241250,67500,112500,63750,76875,83750,120000,407500,68125
19,,,13125,,15625,,,108750,30625,26875,12500,101875,6875,18125,21250,59375,96875,13125,46875,61875,45000,462500,13125,70625,58125,260625,50000,292500,158125,168750,25625,372500,54375,143750,3125,274375,21875,85000,48750,64375,80000,224375,296250,16250
20,18750,21250,,18750,,,15625,,39375,43125,625,76875,8125,10000,19375,20625,4375,19375,42500,35000,25625,493750,24375,36250,179375,180000,60000,298750,93750,147500,46250,453750,34375,109375,5625,493750,51875,78750,26250,24375,34375,333125,135625,15625
21,,,12500,,2500,,,16250,23750,91250,10625,15000,26250,8125,43750,21250,144375,15000,24375,46250,77500,370625,21875,29375,222500,126250,33125,281250,112500,71875,28125,325625,30000,113750,8125,413750,36875,75625,61875,24375,24375,296875,169375,13750
22,52500,83125,,11250,,,11250,,8750,61875,25000,4375,20000,5000,116875,15625,95625,19375,20000,50000,91875,176875,54375,31875,117500,148125,19375,203125,99375,42500,16250,245625,36875,76250,8125,237500,6875,76250,78750,8125,34375,139375,126875,3750
23,,,1875,,3125,,,80625,9375,13750,9375,6250,73750,40000,139375,27500,56250,47500,15000,31875,12500,116250,133125,38125,86875,91250,5000,150625,41875,18125,8125,201250,12500,100000,9375,184375,5000,115625,70625,13750,6250,59375,76250,56250
24,61875,51250,,8750,,,16250,,13125,32500,3125,1875,60000,20625,196875,18125,54375,109375,6875,31250,29375,81250,176875,63125,232500,89375,31250,86875,39375,11875,6875,194375,42500,96875,22500,185000,5625,252500,58125,48750,14375,35625,108125,25625
25,,,3125,,11875,29375,,4375,,47500,3125,,1875,8125,128750,3750,1875,106875,6875,23125,7500,40625,133125,60000,313750,42500,60000,59375,21875,17500,10625,201875,63750,92500,51875,65000,9375,252500,75000,36250,14375,36875,231250,67500
26,4375,21875,,0,,,55625,,,1250,0,,18125,6875,56250,15000,0,79375,8125,39375,20000,20000,107500,30625,413750,18750,44375,28750,109375,43125,6875,138750,82500,30000,29375,20000,40000,186250,66250,6875,8750,28125,158125,68125
27,,,12500,,1250,90625,,0,27500,1250,47500,25000,3125,7500,31250,5625,16875,53125,21250,32500,15000,10000,63750,5625,601875,10625,35625,8125,163750,27500,10000,216875,195000,20625,23750,18750,15625,152500,25000,5625,11250,28125,101875,30625
28,12500,21875,,0,,,0,,15625,13750,46250,10000,2500,625,38125,23750,26875,40625,23750,28750,21250,14375,56250,4375,567500,3750,15000,33125,227500,21250,5000,257500,240000,15000,6875,21875,76250,111250,18125,6875,7500,108750,58125,16250
29,,,0,,625,33750,,32500,7500,10625,44375,9375,625,9375,10000,10000,28750,15000,6875,7500,18125,24375,58125,1875,435625,15000,3125,29375,246250,18125,7500,208125,267500,16250,625,69375,260625,111875,139375,11875,35625,101875,23750,20625
30,6875,2500,,3750,,,1875,,3750,5000,13125,10000,2500,1250,7500,2500,11250,18125,3125,4375,25000,61250,106875,5000,400000,5000,1250,41875,136875,12500,3750,128750,158125,21875,1250,44375,228750,26875,196875,5625,25625,61250,7500,31875
31,,,9375,,0,1875,,15625,5000,7500,4375,52500,2500,0,66875,1250,11875,36875,1250,2500,8750,88125,55625,6250,349375,15625,7500,45625,50000,21250,2500,81250,75625,61250,3750,28125,128125,26250,149375,6875,19375,21875,18750,25000
1,0,14375,,0,,,3125,,8750,5000,11875,32500,3125,0,115000,5000,18750,36250,7500,26875,3125,76875,38125,3125,201875,11250,13125,35000,23125,105625,3125,148125,19375,70625,20625,29375,38750,17500,64375,6250,27500,6875,58125,12500
2,,,73125,,0,45625,,11875,4375,20000,23750,1875,6250,0,81875,1875,61875,13125,13750,96250,625,16875,38125,625,151875,8750,33750,8125,11875,108125,1875,263750,8125,25000,2500,24375,51875,4375,21250,15000,54375,6250,127500,313125
3,625,5000,,0,,,0,,3125,5000,8750,25625,7500,1250,125625,1875,79375,7500,30000,83125,625,29375,46875,0,91250,3750,58750,5625,8125,67500,1250,242500,5000,20625,1875,23125,88125,3125,10000,15625,22500,1875,101250,592500
4,,,20625,,0,123750,,5625,6250,38125,2500,2500,140000,7500,90625,1250,67500,3750,96875,29375,1250,55625,11875,3125,61875,3125,112500,17500,13125,36250,4375,225000,33750,18125,3750,75625,144375,1250,625,6875,33125,36875,6875,548125
5,1250,8125,,0,,,0,,7500,20000,1250,0,150625,3125,136875,1250,38750,6250,83125,15000,0,33125,13750,2500,20000,625,100625,26875,8125,186875,5000,171875,30000,10625,152500,65625,101250,7500,1875,9375,6875,70000,8750,456875
6,,,0,,0,38750,,33750,3750,65000,0,6250,40000,1875,100000,625,60625,8750,48125,11875,0,11875,22500,133125,5000,4375,61875,10000,15625,131875,0,91250,11875,10625,169375,43125,108125,10625,14375,8125,25625,45625,2500,296250
7,0,13750,,0,,,625,,5625,25625,6875,2500,15625,625,48750,625,34375,24375,6875,8750,0,17500,10000,247500,18750,4375,41250,3750,10625,57500,0,68125,2500,6250,25625,35000,80000,10625,14375,5000,13125,14375,1875,74375
8,,,0,,1250,3750,,65625,3750,21250,25000,625,11250,0,21875,2500,11875,46875,5000,3125,0,8750,45625,69375,20625,625,20000,3125,8125,28750,1875,40625,3750,6875,15000,40000,35000,3125,625,8125,10000,1875,16250,62500
9,625,2500,,0,,,0,,5625,9375,26250,625,20625,625,25000,625,12500,150625,4375,1875,1250,7500,39375,59375,13750,3750,13125,6250,30000,10625,1250,43125,7500,7500,8750,29375,16250,2500,0,10000,2500,10000,3750,67500
10,,,41250,,6250,1875,,87500,10000,9375,31875,0,19375,0,8125,625,13125,190625,3750,625,0,11250,25000,47500,11250,625,0,3125,10625,16875,10625,29375,4375,55000,8125,18125,,3750,5000,10625,10625,625,5000,101875
11,0,1875,,0,,,0,,2500,8750,2500,1250,20625,0,6250,0,12500,239375,6875,0,0,12500,12500,45000,11250,625,0,6875,0,16250,14375,27500,3125,63125,1875,11875,9375,3750,1875,6250,6875,0,16875,86250
12,,,20625,,11250,0,,11250,3125,28750,1250,1250,10625,0,10625,0,30000,130625,10000,0,1250,7500,64375,26875,15625,625,0,1250,0,12500,20000,18125,625,25000,625,13750,3750,2500,1250,3125,8125,0,0,78750
13,0,1875,,0,,,1875,,2500,38125,0,0,5000,0,10000,7500,29375,29375,,0,1250,30000,26875,93750,7500,1875,625,1875,0,13750,5625,19375,1250,13125,0,18750,625,3125,2500,2500,10000,625,0,37500
14,,,9375,,8750,1875,,3750,3125,13750,625,625,6875,0,15625,10625,57500,48750,2500,1250,0,16875,10000,101875,37500,0,625,24375,1250,11250,6250,7500,625,20000,625,20000,625,5625,160625,2500,13125,625,0,48750
15,0,2500,,0,,,1875,,7500,15625,1875,1250,10625,0,21875,1875,31250,20625,625,625,0,16250,13750,76875,14375,0,26250,33750,625,15625,1250,10000,2500,11250,0,18750,1250,5625,263125,1875,16875,1250,625,80000
16,,,3750,,6875,0,,48125,8750,6250,0,1250,3750,0,10000,4375,19375,10625,625,0,0,8750,10000,36250,8750,0,6875,3750,10625,12500,6875,26250,625,11250,8750,10000,15625,625,167500,1875,7500,3750,625,118125
17,0,625,,0,,,0,,4375,6875,0,0,1875,0,11875,1875,16875,1875,1250,625,1250,3125,3750,18125,6875,0,625,5625,6250,4375,1250,11250,11250,11875,2500,10625,15000,5000,51875,0,6875,0,0,101875
18,,,4375,,1250,0,,4375,1875,4375,0,4375,1875,0,10625,625,29375,0,1250,625,1250,41875,3125,15000,45000,0,1250,7500,1250,5625,625,5625,8125,7500,1250,7500,5625,3750,6250,0,4375,0,3750,76875
19,0,6875,,0,,,625,,625,1250,0,0,1250,0,5625,10000,20000,1250,14375,625,0,25625,1250,16250,32500,0,1875,9375,625,11250,0,8750,2500,37500,1875,4375,3750,625,0,0,3750,0,0,59375
20,,,0,,0,0,,0,1875,18125,0,0,625,4375,3750,18125,12500,5625,10625,625,9375,10000,1875,15625,5000,625,625,4375,625,3125,0,6250,625,121250,27500,19375,8125,0,0,1875,2500,625,0,45625
21,2500,0,,0,,,3750,,1250,6875,0,0,5625,0,7500,4375,16250,7500,33750,625,20625,6250,1250,18125,58750,625,2500,3750,625,1250,0,6875,625,31250,106875,21875,23125,0,0,1875,4375,0,4375,14375
22,,,0,,0,0,,1875,1875,9375,0,0,1875,0,7500,2500,12500,0,42500,0,13750,4375,1875,19375,15625,0,1875,47500,0,0,0,14375,625,20000,10000,16250,1875,0,3125,3125,8125,625,5625,20625
23,0,0,,0,,,0,,1875,,0,0,3125,6250,9375,3750,13750,625,20000,0,0,118125,5000,15625,8125,1250,0,33125,0,0,1250,17500,0,11250,5000,21875,1250,0,0,625,35000,625,1875,70625
24,,,0,,17500,625,,0,13750,5000,0,0,0,10625,10000,0,11250,0,3125,8125,50000,47500,8125,71250,8125,2500,0,3125,3125,625,0,16250,0,63125,9375,16875,625,4375,0,0,28125,1250,625,117500
25,0,625,,0,,,0,,7500,6250,0,15000,1250,0,7500,2500,8750,0,1250,15625,30625,20625,11875,17500,50625,1250,0,8125,13125,625,625,20000,0,23750,1875,13750,0,625,0,625,21875,625,1250,27500
26,,,0,,0,3125,,0,4375,9375,1250,18750,625,625,12500,2500,11250,0,1875,6875,0,16875,12500,15625,61250,6250,0,16875,28125,5625,625,19375,0,25625,0,11875,0,1875,0,0,5625,0,0,245000
27,0,1250,,0,,,2500,,4375,6250,0,5000,1250,0,7500,2500,14375,625,0,1250,0,14375,6875,11250,9375,3125,0,11875,2500,10000,2500,16875,0,13125,0,4375,625,2500,0,625,13750,0,0,90625
28,,,625,,0,625,,0,6875,5000,1250,1250,1875,625,5625,1250,18750,625,0,5625,3750,12500,5000,13125,8750,625,0,3750,0,8750,625,6875,0,11250,4375,4375,0,2500,5625,3125,11875,0,0,34375
29,0,0,,0,,,0,,625,5625,1250,625,625,0,7500,1875,18125,0,0,5000,0,5000,3750,12500,162500,0,0,7500,2500,3125,0,6250,0,10625,17500,3750,0,1250,3750,0,8125,0,1250,11875
30,,,0,,0,0,,2500,625,7500,625,625,625,12500,5000,0,12500,2500,1875,3125,0,8125,1250,13750,170625,0,7500,13750,0,5000,625,9375,1875,6875,21875,8750,0,0,0,625,12500,0,625,7500
